Datenum,Date,Poudre Inf Flow (%),Horsetooth Inf Flow (%),Washwater Return Inf Flow (%),Poudre Temp (C),Poudre pH,Poudre Turb (NTU),Poudre DO (mg/l),Horsetooth Temp (C),Horsetooth pH,Horsetooth Turb (NTU),Horsetooth DO (mg/L),Finished Water Temp (C),Finished Water pH,Finished Water Turb (NTU),Finished Water Alk (mg/L),Finished Water Cl2 Res (mg/L),Notes
20100101,01-Jan-2010,0.643,0.328,0.029,0.87,7.88,0.67,12.36,5.98,7.59,4.53,9.88,2.01,8.05,0.03,41.35,0.8,
20100102,02-Jan-2010,0.709,0.242,0.05,0.74,8.07,0.73,12.38,6,7.6,4.41,9.86,1.82,8,0.03,40.99,0.76,
20100103,03-Jan-2010,0.654,0.296,0.05,0.72,8.06,0.74,12.38,6.06,7.59,4.45,9.84,1.85,7.97,0.03,40.31,0.74,
20100104,04-Jan-2010,0.577,0.359,0.064,0.7,7.75,0.75,12.35,6.17,7.61,4.42,9.87,1.97,8.02,0.03,38.55,0.75,
20100105,05-Jan-2010,0.598,0.337,0.065,0.7,7.51,0.58,10.36,7.11,7.59,4.41,9.79,1.92,7.94,0.03,37.96,0.76,
20100106,06-Jan-2010,0.438,0.539,0.023,0.74,7.52,,9.21,6.47,7.57,4.42,9.71,2.31,8.02,0.03,38.37,0.79,
20100107,07-Jan-2010,0.282,0.718,0,0.92,7.53,0.68,11.75,8.56,7.56,4.4,9.7,2.85,7.94,0.03,38.61,0.8,
20100108,08-Jan-2010,0.378,0.622,0,1.12,7.46,0.69,12.35,8.8,7.54,4.41,9.65,2.74,7.99,0.03,38.78,0.77,
20100109,09-Jan-2010,0.422,0.578,0,1.14,7.45,0.7,12.24,8.97,7.53,4.41,9.61,2.49,8.03,0.03,38.96,0.77,
20100110,10-Jan-2010,0.324,0.676,0,1.37,7.48,,12.28,9,7.52,4.38,9.57,2.8,8.15,0.03,40.19,0.8,
20100111,11-Jan-2010,0.335,0.665,0,1.42,7.48,,12.34,9.18,7.5,4.36,9.59,2.83,8.06,0.04,40.92,0.79,
20100112,12-Jan-2010,0.326,0.674,0,1.16,7.48,0.71,12.56,8.96,7.47,4.39,9.51,2.85,8.01,0.03,40.51,0.77,
20100113,13-Jan-2010,0.338,0.66,0.002,0.99,7.5,0.64,,9.42,7.48,4.34,9.46,2.86,7.98,0.03,39.9,0.76,
20100114,14-Jan-2010,0.326,0.674,0,1.01,7.54,0.6,,9.01,7.46,4.33,9.39,2.9,8.11,0.03,39.57,0.79,
20100115,15-Jan-2010,0.334,0.664,0.002,1,7.56,0.6,,8.76,7.45,4.34,9.38,2.89,8.04,0.03,39.85,0.8,
20100116,16-Jan-2010,0.33,0.636,0.034,0.99,7.54,0.62,,8.78,7.45,4.36,9.37,2.89,7.84,0.03,40.07,0.78,
20100117,17-Jan-2010,0.328,0.627,0.045,0.96,7.56,0.62,,7.89,7.44,4.39,9.31,2.87,7.86,0.03,40.21,0.77,
20100118,18-Jan-2010,0.332,0.624,0.044,1,7.59,0.61,,6.62,7.43,4.39,9.11,2.89,7.87,0.03,40.54,0.76,
20100119,19-Jan-2010,0.328,0.631,0.04,0.99,7.52,0.6,,7.36,7.42,4.41,9.06,2.95,7.98,0.03,40.36,0.79,
